turn is 0, now time is 0.3797619342803955, scover line is 26322
turn is 1, now time is 113.557452917099, scover line is 27403
turn is 2, now time is 129.45361304283142, scover line is 28810
turn is 3, now time is 148.23440599441528, scover line is 29465
turn is 4, now time is 167.30085492134094, scover line is 29465
turn is 5, now time is 191.21473002433777, scover line is 31609
turn is 6, now time is 210.22623991966248, scover line is 32468
turn is 7, now time is 229.35912895202637, scover line is 40018
turn is 8, now time is 317.81161403656006, scover line is 40018
turn is 9, now time is 342.92367696762085, scover line is 40293
turn is 10, now time is 363.893611907959, scover line is 41689
turn is 11, now time is 483.2039330005646, scover line is 41689
turn is 12, now time is 672.5141129493713, scover line is 41870
turn is 13, now time is 851.1421809196472, scover line is 42142
turn is 14, now time is 872.4938399791718, scover line is 46617
turn is 15, now time is 893.6043899059296, scover line is 47050
turn is 16, now time is 915.0034260749817, scover line is 47050
turn is 17, now time is 940.3326621055603, scover line is 47058
turn is 18, now time is 961.6584808826447, scover line is 47257
turn is 19, now time is 983.4743409156799, scover line is 48164
turn is 20, now time is 1004.6573538780212, scover line is 48269
turn is 21, now time is 1114.333909034729, scover line is 48529
turn is 22, now time is 1136.020623922348, scover line is 48815
turn is 23, now time is 1345.360694885254, scover line is 51103
turn is 24, now time is 1366.6565299034119, scover line is 51104
turn is 25, now time is 1526.139307975769, scover line is 51133
turn is 26, now time is 1715.2075879573822, scover line is 51303
turn is 27, now time is 1737.0968198776245, scover line is 51303
turn is 28, now time is 1878.035218000412, scover line is 51347
turn is 29, now time is 2077.539540052414, scover line is 51601
turn is 30, now time is 2177.4441990852356, scover line is 51705
turn is 31, now time is 2199.3730709552765, scover line is 51711
turn is 32, now time is 2221.2590839862823, scover line is 51732
turn is 33, now time is 2250.1260459423065, scover line is 51732
turn is 34, now time is 2429.554598093033, scover line is 52276
turn is 35, now time is 2451.421550989151, scover line is 52276
turn is 36, now time is 2641.2751200199127, scover line is 52276
turn is 37, now time is 2667.1502430438995, scover line is 52620
turn is 38, now time is 2689.028158903122, scover line is 52620
turn is 39, now time is 2717.1441559791565, scover line is 52620
turn is 40, now time is 2739.067248106003, scover line is 52639
turn is 41, now time is 2760.8813099861145, scover line is 53003
turn is 42, now time is 2782.6851000785828, scover line is 53115
turn is 43, now time is 2804.794209957123, scover line is 53124
turn is 44, now time is 2914.9028871059418, scover line is 53124
turn is 45, now time is 2936.800024032593, scover line is 53124
turn is 46, now time is 2962.9125559329987, scover line is 53130
turn is 47, now time is 3063.178615093231, scover line is 53157
turn is 48, now time is 3085.395884037018, scover line is 53157
turn is 49, now time is 3107.761575937271, scover line is 53304
turn is 50, now time is 3129.9875359535217, scover line is 53378
turn is 51, now time is 3152.312716960907, scover line is 54002
turn is 52, now time is 3174.9332880973816, scover line is 54189
turn is 53, now time is 3265.7934200763702, scover line is 54189
turn is 54, now time is 3297.171585083008, scover line is 54328
turn is 55, now time is 3397.8379600048065, scover line is 54328
turn is 56, now time is 3418.625389099121, scover line is 54330
turn is 57, now time is 3598.4848639965057, scover line is 54448
turn is 58, now time is 3808.4357409477234, scover line is 54452
turn is 59, now time is 4008.0658769607544, scover line is 55597
turn is 60, now time is 4030.2924149036407, scover line is 55597
turn is 61, now time is 4279.757261991501, scover line is 56413
turn is 62, now time is 4301.940800905228, scover line is 56424
turn is 63, now time is 4323.856519937515, scover line is 56442
turn is 64, now time is 4345.9735770225525, scover line is 56442
turn is 65, now time is 4515.4114990234375, scover line is 56442
turn is 66, now time is 4715.5343289375305, scover line is 56569
turn is 67, now time is 4885.136307954788, scover line is 56569
turn is 68, now time is 4905.611501932144, scover line is 56600
turn is 69, now time is 4986.480652093887, scover line is 56600
turn is 70, now time is 5006.970347881317, scover line is 56716
turn is 71, now time is 5029.031302928925, scover line is 56719
turn is 72, now time is 5051.227900981903, scover line is 56719
turn is 73, now time is 5073.562544107437, scover line is 56719
turn is 74, now time is 5144.3535170555115, scover line is 56719
turn is 75, now time is 5166.287575006485, scover line is 56719
turn is 76, now time is 5188.561858892441, scover line is 56719
turn is 77, now time is 5209.362616062164, scover line is 56729
turn is 78, now time is 5329.492636919022, scover line is 56729
turn is 79, now time is 5539.2833569049835, scover line is 56729
turn is 80, now time is 5630.205570936203, scover line is 56729
turn is 81, now time is 5810.143095970154, scover line is 56738
turn is 82, now time is 5832.128658056259, scover line is 56738
turn is 83, now time is 5854.421751022339, scover line is 56750
turn is 84, now time is 5876.550352096558, scover line is 56750
turn is 85, now time is 5898.467624902725, scover line is 56751
turn is 86, now time is 5920.726303100586, scover line is 56867
turn is 87, now time is 5991.78768992424, scover line is 56867
turn is 88, now time is 6013.898257017136, scover line is 56867
turn is 89, now time is 6213.792479991913, scover line is 56867
turn is 90, now time is 6381.269773006439, scover line is 57044
turn is 91, now time is 6520.624913930893, scover line is 57044
turn is 92, now time is 6700.46612906456, scover line is 57263
turn is 93, now time is 6722.675113916397, scover line is 57263
turn is 94, now time is 6745.102402925491, scover line is 57474
turn is 95, now time is 6835.842519044876, scover line is 57474
turn is 96, now time is 6897.160564899445, scover line is 57474
turn is 97, now time is 7107.630368947983, scover line is 57575
turn is 98, now time is 7277.48951792717, scover line is 58106
turn is 99, now time is 7358.494596004486, scover line is 58106
turn is 100, now time is 7381.055181980133, scover line is 58106
turn is 101, now time is 7407.202112913132, scover line is 58172
turn is 102, now time is 7487.924226999283, scover line is 58172
turn is 103, now time is 7588.937269926071, scover line is 58172
turn is 104, now time is 7758.663331031799, scover line is 58172
turn is 105, now time is 7781.029768943787, scover line is 58791
turn is 106, now time is 7872.008445978165, scover line is 58791
turn is 107, now time is 7894.259356021881, scover line is 58919
turn is 108, now time is 7985.111346006393, scover line is 58919
turn is 109, now time is 8005.429483890533, scover line is 58931
turn is 110, now time is 8067.074714899063, scover line is 59122
turn is 111, now time is 8167.707437038422, scover line is 59124
turn is 112, now time is 8190.042844057083, scover line is 59124
turn is 113, now time is 8400.17691397667, scover line is 59127
turn is 114, now time is 8422.438297986984, scover line is 59127
turn is 115, now time is 8444.734504938126, scover line is 59127
turn is 116, now time is 8467.066972017288, scover line is 59133
turn is 117, now time is 8489.324558973312, scover line is 59133
turn is 118, now time is 8659.070519924164, scover line is 59134
turn is 119, now time is 8783.100285053253, scover line is 59134
turn is 120, now time is 8803.285356998444, scover line is 59134
turn is 121, now time is 9013.628352880478, scover line is 59236
turn is 122, now time is 9073.449521064758, scover line is 59236
turn is 123, now time is 9099.78125500679, scover line is 59236
turn is 124, now time is 9129.597578048706, scover line is 59236
turn is 125, now time is 9152.281634092331, scover line is 59236
turn is 126, now time is 9174.939517974854, scover line is 59241
turn is 127, now time is 9375.394769906998, scover line is 61032
turn is 128, now time is 9437.435422897339, scover line is 61032
turn is 129, now time is 9528.85963010788, scover line is 61050
turn is 130, now time is 9590.882570028305, scover line is 61050
turn is 131, now time is 9672.61320400238, scover line is 61053
turn is 132, now time is 9695.523931026459, scover line is 61056
turn is 133, now time is 9876.047190904617, scover line is 61056
turn is 134, now time is 9996.955605983734, scover line is 61594
turn is 135, now time is 10088.523505926132, scover line is 61594
turn is 136, now time is 10269.430711984634, scover line is 61594
turn is 137, now time is 10360.764827013016, scover line is 61594
turn is 138, now time is 10383.974328994751, scover line is 61594
turn is 139, now time is 10410.642343044281, scover line is 61938
turn is 140, now time is 10433.651901960373, scover line is 61943
turn is 141, now time is 10456.668642044067, scover line is 61943
turn is 142, now time is 10548.396696090698, scover line is 61955
turn is 143, now time is 10571.567362070084, scover line is 61957
turn is 144, now time is 10752.271363973618, scover line is 61957
turn is 145, now time is 10775.45394706726, scover line is 61957
turn is 146, now time is 10886.5295419693, scover line is 61957
turn is 147, now time is 10909.862312078476, scover line is 61957
turn is 148, now time is 10936.475529909134, scover line is 61957
turn is 149, now time is 11185.615282058716, scover line is 61966
turn is 150, now time is 11213.027069091797, scover line is 62237
turn is 151, now time is 11236.010725021362, scover line is 62237
turn is 152, now time is 11262.71673297882, scover line is 62330
turn is 153, now time is 11285.775043964386, scover line is 62330
turn is 154, now time is 11486.035374879837, scover line is 62330
turn is 155, now time is 11509.137850046158, scover line is 62330
turn is 156, now time is 11591.353806972504, scover line is 62330
turn is 157, now time is 11703.01106595993, scover line is 62330
turn is 158, now time is 11726.220380067825, scover line is 62330
turn is 159, now time is 11776.846306085587, scover line is 62330
turn is 160, now time is 11803.480000019073, scover line is 62330
turn is 161, now time is 11826.68358707428, scover line is 62330
turn is 162, now time is 11849.893681049347, scover line is 62333
turn is 163, now time is 12031.34296298027, scover line is 62333
turn is 164, now time is 12054.406512975693, scover line is 62333
turn is 165, now time is 12077.723004102707, scover line is 64689
turn is 166, now time is 12100.874933958054, scover line is 64689
turn is 167, now time is 12124.147882938385, scover line is 64689
turn is 168, now time is 12304.909106016159, scover line is 64689
turn is 169, now time is 12328.248631000519, scover line is 64689
turn is 170, now time is 12354.999491930008, scover line is 64692
turn is 171, now time is 12447.021701097488, scover line is 64692
turn is 172, now time is 12569.073677062988, scover line is 64692
turn is 173, now time is 12592.279042005539, scover line is 64695
turn is 174, now time is 12654.72017288208, scover line is 65139
turn is 175, now time is 12678.034368038177, scover line is 65463
turn is 176, now time is 12701.349878072739, scover line is 65463
turn is 177, now time is 12902.350055932999, scover line is 65464
turn is 178, now time is 12925.650625944138, scover line is 65464
turn is 179, now time is 12956.239717006683, scover line is 65464
turn is 180, now time is 12979.511056900024, scover line is 65464
turn is 181, now time is 13006.330565929413, scover line is 65464
turn is 182, now time is 13128.882271051407, scover line is 65464
turn is 183, now time is 13201.145087957382, scover line is 65464
turn is 184, now time is 13242.058965921402, scover line is 65464
turn is 185, now time is 13265.316740989685, scover line is 65465
turn is 186, now time is 13366.742333889008, scover line is 65465
turn is 187, now time is 13537.321202993393, scover line is 65465
turn is 188, now time is 13718.126806020737, scover line is 65465
turn is 189, now time is 13744.773748874664, scover line is 65465
turn is 190, now time is 13775.498327970505, scover line is 65465
turn is 191, now time is 13802.206221103668, scover line is 65465
turn is 192, now time is 13825.381722927094, scover line is 65465
turn is 193, now time is 13848.697699069977, scover line is 65500
turn is 194, now time is 13871.894325017929, scover line is 65500
turn is 195, now time is 13893.941260099411, scover line is 67615
turn is 196, now time is 13917.285015106201, scover line is 67615
turn is 197, now time is 14087.883600950241, scover line is 67647
turn is 198, now time is 14111.026066064835, scover line is 67647
turn is 199, now time is 14134.20479297638, scover line is 67647
turn is 200, now time is 14157.586483955383, scover line is 67647
turn is 201, now time is 14180.674249887466, scover line is 67647
turn is 202, now time is 14282.295084953308, scover line is 67647
turn is 203, now time is 14309.017705917358, scover line is 67648
turn is 204, now time is 14331.993459939957, scover line is 67648
turn is 205, now time is 14358.81767487526, scover line is 67648
turn is 206, now time is 14529.59231209755, scover line is 67648
