time is 0.400068998336792, cover line is 0
time is 46.44545817375183, cover line is 27713
time is 187.03883504867554, cover line is 31044
time is 381.02871203422546, cover line is 43508
time is 506.8520631790161, cover line is 44192
time is 534.461816072464, cover line is 44349
time is 670.9811670780182, cover line is 44349
time is 696.7101020812988, cover line is 45406
time is 724.5899879932404, cover line is 45940
time is 752.3621070384979, cover line is 45949
time is 868.0974571704865, cover line is 46132
time is 906.2785511016846, cover line is 46710
time is 1090.5392370224, cover line is 47355
time is 1118.838478088379, cover line is 47355
time is 1146.2634031772614, cover line is 48974
time is 1241.6415112018585, cover line is 49103
time is 1371.0657842159271, cover line is 49210
time is 1448.0317690372467, cover line is 49654
time is 1496.7325131893158, cover line is 49660
time is 1542.248573064804, cover line is 49889
time is 1568.4360330104828, cover line is 49889
time is 1654.2044939994812, cover line is 50248
time is 1869.1220490932465, cover line is 50518
time is 1896.2616691589355, cover line is 50534
time is 1974.096708059311, cover line is 50765
time is 2002.516231060028, cover line is 50833
time is 2030.2654201984406, cover line is 50842
time is 2059.6988592147827, cover line is 50842
time is 2087.7207930088043, cover line is 51049
time is 2204.333628177643, cover line is 51111
time is 2251.016354084015, cover line is 51832
time is 2297.250946044922, cover line is 51832
time is 2333.5713720321655, cover line is 52009
time is 2380.080623149872, cover line is 52027
time is 2465.3217730522156, cover line is 52031
time is 2493.9861261844635, cover line is 52031
time is 2519.86302113533, cover line is 54612
time is 2546.0508210659027, cover line is 54789
time is 2751.098831176758, cover line is 55126
time is 2839.55446100235, cover line is 55185
time is 3006.8182442188263, cover line is 55185
time is 3103.9844691753387, cover line is 55887
time is 3280.5062251091003, cover line is 55887
time is 3324.614375114441, cover line is 55891
time is 3500.632229089737, cover line is 56206
time is 3559.9282891750336, cover line is 56434
time is 3587.968836069107, cover line is 56469
time is 3693.866604089737, cover line is 56469
time is 3915.286817073822, cover line is 56469
time is 3953.880259990692, cover line is 56469
time is 4039.8064160346985, cover line is 56469
time is 4076.6577219963074, cover line is 56469
time is 4104.10454416275, cover line is 56540
time is 4165.690201044083, cover line is 56665
