turn is 0, cover line is 1
turn is 1, cover line is 1
turn is 2, cover line is 178
turn is 3, cover line is 178
turn is 4, cover line is 178
turn is 5, cover line is 178
turn is 6, cover line is 178
turn is 7, cover line is 178
turn is 8, cover line is 178
turn is 9, cover line is 271
turn is 10, cover line is 321
turn is 11, cover line is 340
turn is 12, cover line is 340
turn is 13, cover line is 340
turn is 14, cover line is 340
turn is 15, cover line is 349
turn is 16, cover line is 349
turn is 17, cover line is 349
turn is 18, cover line is 985
turn is 19, cover line is 1015
turn is 20, cover line is 1015
turn is 21, cover line is 1015
turn is 22, cover line is 1024
turn is 23, cover line is 1035
turn is 24, cover line is 1035
turn is 25, cover line is 1036
turn is 26, cover line is 1036
turn is 27, cover line is 1036
turn is 28, cover line is 1036
turn is 29, cover line is 1036
turn is 30, cover line is 1036
turn is 31, cover line is 1036
turn is 32, cover line is 1036
turn is 33, cover line is 1036
turn is 34, cover line is 1036
turn is 35, cover line is 1036
turn is 36, cover line is 1048
turn is 37, cover line is 1048
turn is 38, cover line is 1048
turn is 39, cover line is 1048
turn is 40, cover line is 1092
turn is 41, cover line is 1118
turn is 42, cover line is 1118
turn is 43, cover line is 1154
turn is 44, cover line is 1154
turn is 45, cover line is 1154
turn is 46, cover line is 1380
turn is 47, cover line is 1380
turn is 48, cover line is 1380
turn is 49, cover line is 1389
turn is 50, cover line is 1389
turn is 51, cover line is 1389
turn is 52, cover line is 1389
turn is 53, cover line is 1389
turn is 54, cover line is 1413
turn is 55, cover line is 1413
turn is 56, cover line is 1413
turn is 57, cover line is 1413
turn is 58, cover line is 1413
turn is 59, cover line is 1413
turn is 60, cover line is 1413
turn is 61, cover line is 1413
turn is 62, cover line is 1414
turn is 63, cover line is 1414
turn is 64, cover line is 2779
turn is 65, cover line is 2780
turn is 66, cover line is 2893
turn is 67, cover line is 2895
turn is 68, cover line is 3579
turn is 69, cover line is 3579
turn is 70, cover line is 3579
turn is 71, cover line is 3579
turn is 72, cover line is 3579
turn is 73, cover line is 3582
turn is 74, cover line is 3582
turn is 75, cover line is 3596
turn is 76, cover line is 3596
turn is 77, cover line is 3596
turn is 78, cover line is 3596
turn is 79, cover line is 3601
turn is 80, cover line is 3601
turn is 81, cover line is 3601
turn is 82, cover line is 3601
turn is 83, cover line is 3601
turn is 84, cover line is 3601
turn is 85, cover line is 3601
turn is 86, cover line is 3694
turn is 87, cover line is 3703
turn is 88, cover line is 3704
turn is 89, cover line is 3704
turn is 90, cover line is 3704
turn is 91, cover line is 4081
turn is 92, cover line is 4081
turn is 93, cover line is 4082
turn is 94, cover line is 4085
turn is 95, cover line is 4085
turn is 96, cover line is 4088
turn is 97, cover line is 4088
turn is 98, cover line is 4088
turn is 99, cover line is 4088
turn is 100, cover line is 4088
turn is 101, cover line is 4099
turn is 102, cover line is 4099
turn is 103, cover line is 4099
turn is 104, cover line is 4099
turn is 105, cover line is 4099
turn is 106, cover line is 4099
turn is 107, cover line is 4101
turn is 108, cover line is 4101
turn is 109, cover line is 4101
turn is 110, cover line is 4101
turn is 111, cover line is 4101
turn is 112, cover line is 4497
turn is 113, cover line is 4497
turn is 114, cover line is 4497
turn is 115, cover line is 4497
turn is 116, cover line is 4497
turn is 117, cover line is 4497
turn is 118, cover line is 4497
turn is 119, cover line is 4497
turn is 120, cover line is 4498
turn is 121, cover line is 4498
turn is 122, cover line is 4498
turn is 123, cover line is 5001
turn is 124, cover line is 5001
turn is 125, cover line is 5001
turn is 126, cover line is 5001
turn is 127, cover line is 5001
turn is 128, cover line is 5001
turn is 129, cover line is 5004
turn is 130, cover line is 5004
turn is 131, cover line is 5070
turn is 132, cover line is 5070
turn is 133, cover line is 5070
turn is 134, cover line is 5072
turn is 135, cover line is 5072
turn is 136, cover line is 5072
turn is 137, cover line is 5072
turn is 138, cover line is 5072
turn is 139, cover line is 5072
turn is 140, cover line is 5072
turn is 141, cover line is 5072
turn is 142, cover line is 5072
turn is 143, cover line is 5072
turn is 144, cover line is 5072
turn is 145, cover line is 5072
turn is 146, cover line is 5072
turn is 147, cover line is 5072
turn is 148, cover line is 5072
turn is 149, cover line is 5072
turn is 150, cover line is 5072
turn is 151, cover line is 5072
turn is 152, cover line is 5072
turn is 153, cover line is 5073
turn is 154, cover line is 5073
turn is 155, cover line is 5073
turn is 156, cover line is 5073
turn is 157, cover line is 5073
turn is 158, cover line is 5073
turn is 159, cover line is 5073
turn is 160, cover line is 5073
turn is 161, cover line is 5073
turn is 162, cover line is 5073
turn is 163, cover line is 6213
turn is 164, cover line is 6213
turn is 165, cover line is 6213
turn is 166, cover line is 6213
turn is 167, cover line is 6213
turn is 168, cover line is 6213
turn is 169, cover line is 6222
turn is 170, cover line is 6222
turn is 171, cover line is 6222
turn is 172, cover line is 6223
turn is 173, cover line is 6223
turn is 174, cover line is 6227
turn is 175, cover line is 6227
turn is 176, cover line is 6227
turn is 177, cover line is 6238
turn is 178, cover line is 6238
turn is 179, cover line is 7616
turn is 180, cover line is 7616
turn is 181, cover line is 7616
turn is 182, cover line is 7617
turn is 183, cover line is 7617
turn is 184, cover line is 7617
turn is 185, cover line is 7617
turn is 186, cover line is 7773
turn is 187, cover line is 7773
turn is 188, cover line is 7773
turn is 189, cover line is 7773
turn is 190, cover line is 7773
turn is 191, cover line is 7773
turn is 192, cover line is 7773
turn is 193, cover line is 7773
turn is 194, cover line is 7773
turn is 195, cover line is 7773
turn is 196, cover line is 7773
turn is 197, cover line is 7773
turn is 198, cover line is 7948
turn is 199, cover line is 7948
turn is 200, cover line is 7948
turn is 201, cover line is 8277
turn is 202, cover line is 8277
turn is 203, cover line is 8431
turn is 204, cover line is 8431
turn is 205, cover line is 8917
turn is 206, cover line is 8926
turn is 207, cover line is 8926
turn is 208, cover line is 8926
turn is 209, cover line is 8926
turn is 210, cover line is 8926
turn is 211, cover line is 8926
turn is 212, cover line is 8978
turn is 213, cover line is 8980
turn is 214, cover line is 8980
turn is 215, cover line is 8980
turn is 216, cover line is 8980
turn is 217, cover line is 8980
turn is 218, cover line is 8980
turn is 219, cover line is 8980
turn is 220, cover line is 9011
turn is 221, cover line is 9013
turn is 222, cover line is 9119
turn is 223, cover line is 9226
turn is 224, cover line is 9226
turn is 225, cover line is 9226
turn is 226, cover line is 9226
turn is 227, cover line is 9229
turn is 228, cover line is 9229
turn is 229, cover line is 9229
turn is 230, cover line is 9229
turn is 231, cover line is 9229
turn is 232, cover line is 9229
turn is 233, cover line is 9229
turn is 234, cover line is 9229
turn is 235, cover line is 9229
turn is 236, cover line is 9241
turn is 237, cover line is 9241
turn is 238, cover line is 9241
turn is 239, cover line is 9241
turn is 240, cover line is 9244
turn is 241, cover line is 9244
turn is 242, cover line is 9244
turn is 243, cover line is 9259
turn is 244, cover line is 9259
turn is 245, cover line is 9259
turn is 246, cover line is 9259
turn is 247, cover line is 9259
