time is 0.38538503646850586, cover line is 0
time is 13.809164047241211, cover line is 18531
time is 131.10022497177124, cover line is 26908
time is 150.86180996894836, cover line is 31459
time is 338.1833930015564, cover line is 32342
time is 358.0876441001892, cover line is 35685
time is 436.637531042099, cover line is 36377
time is 524.9258170127869, cover line is 37298
time is 544.7127850055695, cover line is 37757
time is 564.8911199569702, cover line is 37849
time is 653.6410520076752, cover line is 39624
time is 673.7337489128113, cover line is 40006
time is 694.4751689434052, cover line is 40301
time is 861.00075507164, cover line is 40301
time is 888.140114068985, cover line is 40307
time is 912.1319859027863, cover line is 40688
time is 932.5330700874329, cover line is 40706
time is 952.8932900428772, cover line is 40845
time is 973.5406270027161, cover line is 41408
time is 993.9225969314575, cover line is 41409
time is 1014.6333889961243, cover line is 42443
time is 1093.8629219532013, cover line is 42458
time is 1231.9936940670013, cover line is 43206
time is 1252.419399023056, cover line is 43445
time is 1274.0926840305328, cover line is 50811
time is 1296.808986902237, cover line is 50956
time is 1358.3390851020813, cover line is 51137
time is 1439.335331916809, cover line is 53993
time is 1461.6195418834686, cover line is 54721
time is 1483.7347059249878, cover line is 54736
time is 1643.4408440589905, cover line is 54746
time is 1665.9622159004211, cover line is 54820
time is 1689.4919040203094, cover line is 55195
time is 1709.482626914978, cover line is 55327
time is 1732.043907880783, cover line is 55566
time is 1912.0217089653015, cover line is 55574
time is 1934.1858019828796, cover line is 56010
time is 1965.4953920841217, cover line is 56010
time is 1990.315439939499, cover line is 56010
time is 2012.4718050956726, cover line is 57734
time is 3004.417125940323, cover line is 57961
time is 3107.283102989197, cover line is 58007
time is 3131.986650943756, cover line is 58346
time is 3207.023593902588, cover line is 60657
time is 3306.092525959015, cover line is 60700
time is 3338.3222460746765, cover line is 61950
time is 3363.1829619407654, cover line is 62106
time is 3388.1096839904785, cover line is 62106
time is 3550.5389420986176, cover line is 62135
time is 3712.960566997528, cover line is 62310
time is 3738.212961912155, cover line is 62416
time is 3912.513804912567, cover line is 62416
time is 3936.987205028534, cover line is 62416
time is 3960.855756998062, cover line is 62474
time is 3983.194958925247, cover line is 62474
time is 4155.014580965042, cover line is 62667
time is 4179.226913928986, cover line is 62694
time is 4203.1571979522705, cover line is 62694
time is 4227.416079044342, cover line is 62726
time is 4251.578943967819, cover line is 62726
time is 4277.325690031052, cover line is 62726
