turn is 0, now time is 0.20877909660339355, scover line is 38836
turn is 1, now time is 15.215842008590698, scover line is 40701
turn is 2, now time is 36.1010799407959, scover line is 44906
turn is 3, now time is 57.168457984924316, scover line is 45570
turn is 4, now time is 215.93782496452332, scover line is 46123
turn is 5, now time is 235.43730688095093, scover line is 46158
turn is 6, now time is 256.0260879993439, scover line is 46435
turn is 7, now time is 365.211364030838, scover line is 46460
turn is 8, now time is 464.9652330875397, scover line is 46592
turn is 9, now time is 483.89956998825073, scover line is 46617
turn is 10, now time is 504.29150795936584, scover line is 46627
turn is 11, now time is 533.5779829025269, scover line is 46853
turn is 12, now time is 554.9765419960022, scover line is 47595
turn is 13, now time is 703.7615149021149, scover line is 48435
turn is 14, now time is 725.5736970901489, scover line is 48761
turn is 15, now time is 747.1604731082916, scover line is 49847
turn is 16, now time is 768.9970369338989, scover line is 49847
turn is 17, now time is 794.5077459812164, scover line is 49847
turn is 18, now time is 918.9163029193878, scover line is 49847
turn is 19, now time is 1092.197715997696, scover line is 49870
turn is 20, now time is 1192.0002279281616, scover line is 50743
turn is 21, now time is 1262.356575012207, scover line is 50856
turn is 22, now time is 1372.0259819030762, scover line is 50856
turn is 23, now time is 1393.4969930648804, scover line is 50856
turn is 24, now time is 1423.3121221065521, scover line is 51890
turn is 25, now time is 1572.384831905365, scover line is 52358
turn is 26, now time is 1594.3390100002289, scover line is 52447
turn is 27, now time is 1616.4212839603424, scover line is 52447
turn is 28, now time is 1637.978283882141, scover line is 52471
turn is 29, now time is 1660.6231050491333, scover line is 52621
turn is 30, now time is 1681.3561899662018, scover line is 52621
turn is 31, now time is 1711.7825911045074, scover line is 55005
turn is 32, now time is 1773.0222990512848, scover line is 55005
turn is 33, now time is 1795.1638839244843, scover line is 55102
turn is 34, now time is 1817.9240019321442, scover line is 55102
turn is 35, now time is 1840.4238181114197, scover line is 55256
turn is 36, now time is 1931.5194780826569, scover line is 55380
turn is 37, now time is 1954.2323110103607, scover line is 55380
turn is 38, now time is 1976.5651741027832, scover line is 55508
turn is 39, now time is 1999.114100933075, scover line is 55518
turn is 40, now time is 2020.4209909439087, scover line is 55670
turn is 41, now time is 2043.4092290401459, scover line is 55781
turn is 42, now time is 2065.3349878787994, scover line is 55980
turn is 43, now time is 2088.4622979164124, scover line is 55980
turn is 44, now time is 2120.7796111106873, scover line is 56197
turn is 45, now time is 2231.5255439281464, scover line is 56563
turn is 46, now time is 2254.1985828876495, scover line is 56563
turn is 47, now time is 2280.7694590091705, scover line is 56563
turn is 48, now time is 2413.854506969452, scover line is 56563
turn is 49, now time is 2436.154706954956, scover line is 56563
turn is 50, now time is 2466.9519538879395, scover line is 56563
turn is 51, now time is 2487.540412902832, scover line is 56563
turn is 52, now time is 2513.919687986374, scover line is 56563
turn is 53, now time is 2634.431505918503, scover line is 56727
turn is 54, now time is 2656.860860109329, scover line is 59983
turn is 55, now time is 2758.1689689159393, scover line is 60391
turn is 56, now time is 2859.5681750774384, scover line is 61300
turn is 57, now time is 2960.9366240501404, scover line is 61483
turn is 58, now time is 2983.452173948288, scover line is 61488
turn is 59, now time is 3094.443475008011, scover line is 62984
turn is 60, now time is 3195.807804107666, scover line is 63154
turn is 61, now time is 3218.8902559280396, scover line is 63282
turn is 62, now time is 3310.459659099579, scover line is 63838
turn is 63, now time is 3412.331330060959, scover line is 63845
turn is 64, now time is 3435.49241399765, scover line is 63845
turn is 65, now time is 3462.1779420375824, scover line is 63845
turn is 66, now time is 3485.2672638893127, scover line is 63851
turn is 67, now time is 3508.341670036316, scover line is 63874
turn is 68, now time is 3531.153909921646, scover line is 63883
turn is 69, now time is 3632.73153591156, scover line is 63883
turn is 70, now time is 3663.725354909897, scover line is 65523
turn is 71, now time is 3794.4136140346527, scover line is 65523
turn is 72, now time is 3886.7208359241486, scover line is 65523
turn is 73, now time is 3909.1438870429993, scover line is 65647
turn is 74, now time is 3932.2454619407654, scover line is 65647
turn is 75, now time is 4024.280256986618, scover line is 65647
turn is 76, now time is 4045.198616027832, scover line is 66237
turn is 77, now time is 4068.356211900711, scover line is 66237
turn is 78, now time is 4090.3224759101868, scover line is 66237
turn is 79, now time is 4111.3952848911285, scover line is 66237
turn is 80, now time is 4134.685993909836, scover line is 66242
turn is 81, now time is 4315.599863052368, scover line is 66242
turn is 82, now time is 4337.618772983551, scover line is 66252
