time is 0.34726595878601074, cover line is 0
time is 84.12699103355408, cover line is 27413
time is 102.10097885131836, cover line is 29129
time is 118.93133997917175, cover line is 29280
time is 137.74538588523865, cover line is 30794
time is 156.68102884292603, cover line is 31336
time is 313.34587383270264, cover line is 31626
time is 459.8854959011078, cover line is 31626
time is 576.8772008419037, cover line is 31626
time is 743.4430038928986, cover line is 31673
time is 762.6622648239136, cover line is 31745
time is 779.4848937988281, cover line is 31747
time is 796.5379779338837, cover line is 31804
time is 942.9008729457855, cover line is 31804
time is 1059.9357459545135, cover line is 31804
time is 1084.0806148052216, cover line is 31804
time is 1103.1442048549652, cover line is 34515
time is 1260.4691829681396, cover line is 39688
time is 1285.5716378688812, cover line is 39688
time is 1511.8583698272705, cover line is 39688
time is 1610.7254328727722, cover line is 39730
time is 1872.095288991928, cover line is 39730
time is 1892.7223978042603, cover line is 40491
time is 2001.8370130062103, cover line is 43291
time is 2232.5458579063416, cover line is 43291
time is 2253.3315188884735, cover line is 43291
time is 2281.541576862335, cover line is 43291
time is 2306.7333109378815, cover line is 43291
time is 2333.987012863159, cover line is 43294
time is 2452.6077959537506, cover line is 43294
time is 2580.6701200008392, cover line is 43930
time is 2601.522315979004, cover line is 43937
time is 2622.2875378131866, cover line is 44685
time is 2640.721771001816, cover line is 44817
time is 2661.492285966873, cover line is 44912
time is 2799.641772031784, cover line is 44912
time is 2820.8629100322723, cover line is 44924
time is 2839.8979799747467, cover line is 44924
time is 2860.790301799774, cover line is 44943
time is 2886.0085258483887, cover line is 44943
time is 2905.9430220127106, cover line is 45395
time is 3073.5135939121246, cover line is 45395
time is 3153.17205286026, cover line is 49143
time is 3174.264333963394, cover line is 49273
time is 3312.7127759456635, cover line is 49448
time is 3333.9973719120026, cover line is 50343
time is 3354.0485768318176, cover line is 50519
time is 3443.810856819153, cover line is 50706
time is 3464.2100188732147, cover line is 50732
time is 3485.6299159526825, cover line is 50732
time is 3506.3238389492035, cover line is 50732
time is 3527.8329389095306, cover line is 50740
time is 3687.5613689422607, cover line is 51492
time is 3707.699206829071, cover line is 51492
time is 3727.598217010498, cover line is 51495
time is 3974.1310589313507, cover line is 51495
time is 3995.540704011917, cover line is 51596
time is 4017.135317802429, cover line is 51846
time is 4038.413993835449, cover line is 52642
time is 4148.290922880173, cover line is 52647
time is 4169.840654850006, cover line is 52647
time is 4318.701148986816, cover line is 52792
time is 4514.7361578941345, cover line is 52792
time is 4535.02827000618, cover line is 52927
time is 4556.797389984131, cover line is 52934
time is 4578.36977481842, cover line is 52973
time is 4737.727972984314, cover line is 52973
time is 4759.498829841614, cover line is 53582
time is 4785.191680908203, cover line is 53582
time is 4875.409571886063, cover line is 54279
time is 4985.152201890945, cover line is 54279
time is 5075.594740867615, cover line is 54279
time is 5165.643031835556, cover line is 54478
time is 5415.525209903717, cover line is 54478
time is 5574.922845840454, cover line is 54616
time is 5714.100873947144, cover line is 55157
time is 5843.020613908768, cover line is 55284
time is 5865.178395986557, cover line is 55403
time is 5886.566872835159, cover line is 55403
time is 5908.4169199466705, cover line is 56735
time is 6018.814944028854, cover line is 56834
time is 6049.078548908234, cover line is 56834
time is 6071.232097864151, cover line is 56929
time is 6093.220194816589, cover line is 56940
time is 6115.518110990524, cover line is 57126
time is 6216.197733879089, cover line is 57332
time is 6238.206118822098, cover line is 57466
time is 6358.216014862061, cover line is 57478
time is 6380.128676891327, cover line is 57589
time is 6406.280138015747, cover line is 57589
time is 6616.770803928375, cover line is 57589
time is 6717.005692958832, cover line is 57589
time is 6739.270567893982, cover line is 57589
time is 6829.80907201767, cover line is 57589
time is 6855.98623085022, cover line is 57589
time is 6956.341182947159, cover line is 57590
time is 6978.658872842789, cover line is 57739
time is 7217.106775999069, cover line is 57739
time is 7327.463145971298, cover line is 57913
time is 7349.570597887039, cover line is 57913
time is 7371.895147800446, cover line is 57913
time is 7492.779112815857, cover line is 57913
time is 7515.134791851044, cover line is 57913
time is 7537.0484030246735, cover line is 57917
time is 7696.690901994705, cover line is 58106
time is 7717.416100978851, cover line is 58106
time is 7739.692930936813, cover line is 58106
time is 7899.343906879425, cover line is 58106
time is 7920.505267858505, cover line is 58106
time is 8060.054896831512, cover line is 58108
time is 8082.005077838898, cover line is 58163
time is 8103.190696954727, cover line is 58163
time is 8135.205983877182, cover line is 58163
time is 8274.831094026566, cover line is 58163
time is 8478.23615694046, cover line is 58163
time is 8504.545540809631, cover line is 58163
time is 8526.866631031036, cover line is 58163
time is 8617.535305023193, cover line is 58163
time is 8639.767957925797, cover line is 58163
time is 8760.371320962906, cover line is 58172
