time is 0.20218801498413086, cover line is 0
time is 21.556237936019897, cover line is 12149
time is 38.21458601951599, cover line is 32762
time is 57.172088861465454, cover line is 33479
time is 76.61048698425293, cover line is 37572
time is 204.43560600280762, cover line is 38413
time is 223.86470890045166, cover line is 39310
time is 242.85438704490662, cover line is 39460
time is 261.4694378376007, cover line is 39467
time is 281.3480739593506, cover line is 39707
time is 302.10088300704956, cover line is 46938
time is 323.67774200439453, cover line is 46938
time is 345.89885902404785, cover line is 47064
time is 415.7688298225403, cover line is 47293
time is 536.7009699344635, cover line is 47685
time is 665.796178817749, cover line is 48615
time is 687.382227897644, cover line is 48662
time is 709.0070428848267, cover line is 48965
time is 809.3098738193512, cover line is 50508
time is 968.8475978374481, cover line is 52015
time is 990.1977639198303, cover line is 52260
time is 1013.007465839386, cover line is 52301
time is 1034.9915318489075, cover line is 54085
time is 1264.062912940979, cover line is 54085
time is 1286.3635988235474, cover line is 54108
time is 1308.4643938541412, cover line is 58930
time is 1329.5380198955536, cover line is 58939
time is 1391.0030899047852, cover line is 59144
time is 1412.7561779022217, cover line is 59664
time is 1435.5351040363312, cover line is 60591
time is 1564.5795369148254, cover line is 60600
time is 1664.7698998451233, cover line is 61115
time is 1691.1874859333038, cover line is 61115
time is 1717.1268599033356, cover line is 61115
time is 1743.1438360214233, cover line is 61115
time is 1863.4145350456238, cover line is 61172
time is 1934.839933872223, cover line is 63606
time is 1958.5968198776245, cover line is 64223
time is 1988.5707218647003, cover line is 64223
time is 2020.2814989089966, cover line is 64223
time is 2121.345794916153, cover line is 64357
time is 2143.8984129428864, cover line is 64359
time is 2195.1472878456116, cover line is 64659
time is 2276.2907299995422, cover line is 64666
time is 2299.7320618629456, cover line is 64992
time is 2322.5636699199677, cover line is 64993
time is 2354.1749980449677, cover line is 64993
time is 2380.690817832947, cover line is 64993
time is 2402.6860349178314, cover line is 66026
time is 2425.721911907196, cover line is 66362
time is 2446.8230340480804, cover line is 66362
time is 2470.9566888809204, cover line is 66905
time is 2553.693624973297, cover line is 67015
time is 2645.082589864731, cover line is 67128
time is 2676.892673969269, cover line is 67128
time is 2700.341792821884, cover line is 68047
time is 2723.2440679073334, cover line is 68047
time is 2746.1944048404694, cover line is 68072
time is 2769.1786739826202, cover line is 68159
time is 2791.8309910297394, cover line is 68333
time is 2814.612404823303, cover line is 68814
time is 2837.0385270118713, cover line is 68915
time is 2861.330976009369, cover line is 69779
time is 2902.869829893112, cover line is 69829
time is 2974.338233947754, cover line is 70805
time is 3037.3574588298798, cover line is 70805
time is 3060.3539140224457, cover line is 70924
time is 3084.1031069755554, cover line is 70982
time is 3107.0178418159485, cover line is 71453
time is 3129.777246952057, cover line is 71453
time is 3151.7697229385376, cover line is 71483
time is 3173.9863958358765, cover line is 71483
time is 3196.247339963913, cover line is 71483
time is 3237.1431930065155, cover line is 71497
time is 3260.2038898468018, cover line is 71665
time is 3283.225508928299, cover line is 71668
time is 3385.238450050354, cover line is 72742
time is 3408.4167988300323, cover line is 72943
time is 3439.5031158924103, cover line is 72943
time is 3511.697285890579, cover line is 73018
time is 3535.2136108875275, cover line is 73018
time is 3559.098074913025, cover line is 73018
time is 3651.498419046402, cover line is 73040
time is 3674.702680826187, cover line is 73040
time is 3697.7902460098267, cover line is 73040
time is 3724.6623430252075, cover line is 73040
time is 3835.849660873413, cover line is 73040
time is 3862.811436891556, cover line is 73040
time is 3934.6646440029144, cover line is 73108
time is 4075.5394098758698, cover line is 73108
time is 4098.398458003998, cover line is 73109
time is 4120.6165590286255, cover line is 73109
time is 4292.396303892136, cover line is 73314
time is 4319.229048967361, cover line is 73314
time is 4410.940353870392, cover line is 73326
time is 4493.428333044052, cover line is 73332
time is 4555.927050828934, cover line is 73916
time is 4579.1934468746185, cover line is 73916
time is 4651.723713874817, cover line is 73916
time is 4675.122679948807, cover line is 73916
time is 4698.551580905914, cover line is 73916
time is 4722.819111824036, cover line is 73916
time is 4746.674530029297, cover line is 73928
time is 4773.3610780239105, cover line is 73928
time is 4804.578110933304, cover line is 73928
time is 4829.013231992722, cover line is 73928
time is 4853.700063943863, cover line is 73930
time is 4877.162734985352, cover line is 73930
time is 4901.33339881897, cover line is 73930
time is 4932.18625497818, cover line is 73930
time is 4964.05122590065, cover line is 73930
time is 4985.958783864975, cover line is 73930
time is 5087.569566965103, cover line is 73964
time is 5189.331684827805, cover line is 73964
time is 5349.685261964798, cover line is 74587
time is 5376.688629865646, cover line is 74587
time is 5577.614864826202, cover line is 74590
time is 5611.356689929962, cover line is 74590
time is 5692.941893815994, cover line is 74693
time is 5834.524420976639, cover line is 74738
time is 5906.014914035797, cover line is 74761
time is 5930.888648986816, cover line is 74765
time is 5961.907080888748, cover line is 74765
time is 5984.051586866379, cover line is 74779
time is 6105.69206905365, cover line is 74781
time is 6129.598937988281, cover line is 74832
time is 6152.7222628593445, cover line is 74839
time is 6176.243134975433, cover line is 74839
time is 6199.240543842316, cover line is 74839
time is 6291.00420999527, cover line is 74868
time is 6314.440023899078, cover line is 74875
time is 6406.2310359478, cover line is 74885
time is 6487.9109308719635, cover line is 74885
time is 6511.570930957794, cover line is 74888
time is 6538.268355846405, cover line is 74888
time is 6561.341225862503, cover line is 74956
time is 6643.454874038696, cover line is 74956
time is 6804.558431863785, cover line is 75997
time is 6827.822482824326, cover line is 75997
time is 6959.057904958725, cover line is 75997
time is 6982.449398994446, cover line is 76147
time is 7006.512322902679, cover line is 76533
time is 7029.780230998993, cover line is 76533
time is 7062.373849868774, cover line is 76533
time is 7085.69389796257, cover line is 76533
time is 7112.707051992416, cover line is 76533
time is 7136.191059827805, cover line is 76683
time is 7159.789134025574, cover line is 76683
time is 7186.687186956406, cover line is 76683
time is 7288.922013998032, cover line is 76683
time is 7313.005604028702, cover line is 76684
time is 7336.117331027985, cover line is 76723
time is 7537.384763002396, cover line is 76723
time is 7560.7376799583435, cover line is 78551
time is 7584.344154834747, cover line is 78615
time is 7608.784610033035, cover line is 78618
time is 7789.9995658397675, cover line is 78640
time is 7813.694308042526, cover line is 78826
time is 7915.678918838501, cover line is 78826
time is 7938.634762048721, cover line is 78845
time is 8069.660141944885, cover line is 79040
time is 8141.879693031311, cover line is 79203
time is 8214.180085897446, cover line is 79206
time is 8238.181859970093, cover line is 79206
time is 8261.473281860352, cover line is 79206
time is 8284.224962949753, cover line is 79206
time is 8307.257408857346, cover line is 79206
time is 8408.902715921402, cover line is 79206
time is 8510.63436293602, cover line is 79220
time is 8534.708921909332, cover line is 79221
time is 8558.24398803711, cover line is 79221
time is 8719.271400928497, cover line is 79221
time is 8831.502022981644, cover line is 79223
time is 8923.576982975006, cover line is 79223
time is 8947.053902864456, cover line is 79223
time is 8974.000444889069, cover line is 79223
time is 8997.52851986885, cover line is 79551
time is 9021.69346499443, cover line is 79551
time is 9053.42586183548, cover line is 79551
time is 9214.321105957031, cover line is 79551
time is 9375.360668897629, cover line is 79552
time is 9398.360362052917, cover line is 79554
time is 9421.735869884491, cover line is 79554
time is 9444.939436912537, cover line is 79554
time is 9468.33003783226, cover line is 79606
time is 9492.006875038147, cover line is 79610
time is 9515.957504034042, cover line is 79610
time is 9539.11801290512, cover line is 79610
time is 9562.85535788536, cover line is 79716
time is 9723.857138872147, cover line is 79716
time is 9747.56481385231, cover line is 79787
time is 9778.841418027878, cover line is 79787
time is 9910.396800994873, cover line is 79787
time is 9934.14810204506, cover line is 79787
time is 9957.642184972763, cover line is 79789
time is 9981.200808048248, cover line is 80032
time is 10004.822430849075, cover line is 80033
time is 10087.094436883926, cover line is 80033
time is 10118.77587890625, cover line is 80038
time is 10270.050637960434, cover line is 80231
time is 10302.838570833206, cover line is 80231
