turn is 0, now time is 2.8426899909973145, scover line is 32173
turn is 1, now time is 38.155681848526, scover line is 33276
turn is 2, now time is 59.0383358001709, scover line is 34795
turn is 3, now time is 79.72490692138672, scover line is 37956
turn is 4, now time is 99.59365391731262, scover line is 39012
turn is 5, now time is 121.83810901641846, scover line is 41243
turn is 6, now time is 183.96297001838684, scover line is 41884
turn is 7, now time is 333.3754458427429, scover line is 43158
turn is 8, now time is 355.72542691230774, scover line is 43978
turn is 9, now time is 495.81251192092896, scover line is 44771
turn is 10, now time is 586.2960228919983, scover line is 45132
turn is 11, now time is 615.8048458099365, scover line is 45132
turn is 12, now time is 641.8695828914642, scover line is 45399
turn is 13, now time is 662.8496358394623, scover line is 45399
turn is 14, now time is 692.5526239871979, scover line is 45843
turn is 15, now time is 716.0627009868622, scover line is 46040
turn is 16, now time is 865.4310419559479, scover line is 46492
turn is 17, now time is 964.8136298656464, scover line is 46841
turn is 18, now time is 987.6165149211884, scover line is 53486
turn is 19, now time is 1111.1303269863129, scover line is 56184
turn is 20, now time is 1133.7798218727112, scover line is 56231
turn is 21, now time is 1157.9682819843292, scover line is 56282
turn is 22, now time is 1182.2147178649902, scover line is 56793
turn is 23, now time is 1206.4133038520813, scover line is 60078
turn is 24, now time is 1299.566598892212, scover line is 60086
turn is 25, now time is 1324.1098399162292, scover line is 60275
turn is 26, now time is 1359.9263799190521, scover line is 60275
turn is 27, now time is 1501.1498069763184, scover line is 60275
turn is 28, now time is 1533.5583338737488, scover line is 60404
turn is 29, now time is 1558.0743629932404, scover line is 60451
turn is 30, now time is 1582.281998872757, scover line is 60980
turn is 31, now time is 1606.8636519908905, scover line is 61586
turn is 32, now time is 1631.6594638824463, scover line is 62078
turn is 33, now time is 1655.7792208194733, scover line is 62823
turn is 34, now time is 1681.6593618392944, scover line is 63178
turn is 35, now time is 1707.7128009796143, scover line is 63335
turn is 36, now time is 1772.0561788082123, scover line is 63335
turn is 37, now time is 1921.6406288146973, scover line is 63363
turn is 38, now time is 1946.037535905838, scover line is 63366
turn is 39, now time is 2038.9134278297424, scover line is 63366
turn is 40, now time is 2063.10946893692, scover line is 63477
turn is 41, now time is 2087.5616438388824, scover line is 63480
turn is 42, now time is 2111.673898935318, scover line is 63482
turn is 43, now time is 2155.23291182518, scover line is 63638
turn is 44, now time is 2180.2116158008575, scover line is 63638
turn is 45, now time is 2242.987245798111, scover line is 65344
turn is 46, now time is 2396.0207278728485, scover line is 65344
turn is 47, now time is 2429.9490230083466, scover line is 65344
turn is 48, now time is 2462.777925014496, scover line is 65359
turn is 49, now time is 2537.3419988155365, scover line is 65409
turn is 50, now time is 2563.704682826996, scover line is 65442
turn is 51, now time is 2587.5668280124664, scover line is 65603
turn is 52, now time is 2613.03262591362, scover line is 65693
turn is 53, now time is 2638.5984919071198, scover line is 65693
turn is 54, now time is 2670.9416530132294, scover line is 65693
turn is 55, now time is 2705.408252954483, scover line is 65855
turn is 56, now time is 2770.2249557971954, scover line is 66168
turn is 57, now time is 2804.460412979126, scover line is 66316
turn is 58, now time is 2879.835222005844, scover line is 67084
turn is 59, now time is 2905.8126130104065, scover line is 67086
turn is 60, now time is 2931.2135219573975, scover line is 67086
turn is 61, now time is 2955.1464660167694, scover line is 67086
turn is 62, now time is 2981.200658798218, scover line is 67229
turn is 63, now time is 3005.9315178394318, scover line is 67414
turn is 64, now time is 3081.246109008789, scover line is 67924
turn is 65, now time is 3106.420338869095, scover line is 67924
turn is 66, now time is 3139.191745996475, scover line is 68271
turn is 67, now time is 3164.51203083992, scover line is 68284
turn is 68, now time is 3190.065768957138, scover line is 68284
turn is 69, now time is 3225.814488887787, scover line is 69563
turn is 70, now time is 3300.954201936722, scover line is 69758
turn is 71, now time is 3414.0967428684235, scover line is 69953
turn is 72, now time is 3439.6310119628906, scover line is 70012
turn is 73, now time is 3494.3442039489746, scover line is 70017
turn is 74, now time is 3597.2440140247345, scover line is 70079
turn is 75, now time is 3641.9082708358765, scover line is 70248
turn is 76, now time is 3666.8982639312744, scover line is 70248
turn is 77, now time is 3691.9892349243164, scover line is 71075
turn is 78, now time is 3717.42320394516, scover line is 71075
turn is 79, now time is 3745.9987518787384, scover line is 71103
turn is 80, now time is 3771.566164970398, scover line is 71221
turn is 81, now time is 3797.876793861389, scover line is 71356
turn is 82, now time is 3823.5671458244324, scover line is 71356
turn is 83, now time is 3856.723832845688, scover line is 71357
turn is 84, now time is 3892.1002898216248, scover line is 71462
turn is 85, now time is 3918.1277248859406, scover line is 71462
turn is 86, now time is 3961.8371698856354, scover line is 71462
turn is 87, now time is 4017.5146408081055, scover line is 71462
turn is 88, now time is 4042.1108198165894, scover line is 71462
turn is 89, now time is 4085.6933028697968, scover line is 71570
turn is 90, now time is 4112.055389881134, scover line is 71570
turn is 91, now time is 4138.365297794342, scover line is 71570
turn is 92, now time is 4212.779331922531, scover line is 71581
turn is 93, now time is 4237.715248823166, scover line is 71584
turn is 94, now time is 4263.4383108615875, scover line is 71584
turn is 95, now time is 4347.664035797119, scover line is 71613
turn is 96, now time is 4373.02866601944, scover line is 71634
turn is 97, now time is 4517.1224999427795, scover line is 71634
turn is 98, now time is 4542.885505914688, scover line is 71642
turn is 99, now time is 4568.011155843735, scover line is 71642
turn is 100, now time is 4744.356544971466, scover line is 71642
turn is 101, now time is 4769.1272559165955, scover line is 71647
turn is 102, now time is 4922.750946998596, scover line is 71661
turn is 103, now time is 4948.556312799454, scover line is 71661
turn is 104, now time is 5041.841591835022, scover line is 71661
turn is 105, now time is 5106.783061981201, scover line is 71661
turn is 106, now time is 5142.019076824188, scover line is 71768
turn is 107, now time is 5167.521586894989, scover line is 71828
turn is 108, now time is 5194.061999797821, scover line is 72979
turn is 109, now time is 5227.415271997452, scover line is 72979
turn is 110, now time is 5253.060601949692, scover line is 73014
turn is 111, now time is 5328.861640930176, scover line is 73014
turn is 112, now time is 5355.183010816574, scover line is 73018
turn is 113, now time is 5379.143270015717, scover line is 73262
turn is 114, now time is 5404.912042856216, scover line is 74619
turn is 115, now time is 5430.583384990692, scover line is 74677
turn is 116, now time is 5458.244335889816, scover line is 74677
turn is 117, now time is 5493.510299921036, scover line is 74737
turn is 118, now time is 5588.693130970001, scover line is 74937
